Date,Customer_ID,Customer_Name,Phone,Vehicle_Type,Plate_Number,Service_Type,Complaint,Parts_Replaced,Mechanic_Name,Service_Cost,Payment_Mode,Return_Visit,Rating,Service_Time_Hours,Remarks,Status,Workshop_Location,Referral_Source,Wait_Time_Mins,Spare_Parts_Availability,Parts_Source,Service_Priority,Customer_Type,Fleet_Name,Mechanic_Skill_Level,Parts_Cost,Labour_Cost,Fuel_TopUp?,Discount_Given,Promo_Code_Used,Follow_Up_Date,Has_Insurance_Cover,Mechanic_Notes,Customer_Notes,Request_For_Pickup,Home_Service,Towing_Required,Service_Package,Whatsapp_Followup
19/05/2025,CUS001,John Doe,08044398138,Toyota Corolla,KAN949EF,Suspension Work,Oil chang,None,Uche,110523,Transfer,No,4.0,4.4,Recommended further checks,Completed,Main Bay,Mechanic Referral,,Available,Benz supply,Emergncy,Fleet Owner,Bolt Driver,,40000,30000,No,0,NONE,,no,,,N,Yes,No,Gold Maintenance Plan,
01/04/2025,CUS002,Emeka Okafor,08057699801,Mercedes-Benz GLE,KAN613EF,Engine Repair,Suspenshun Noise,None,Isaac Bobo,71821,pos,No,,2.3,,Pending,Under tree,Mechanik Referal,60,orderd,Direct from Benz,Booking,Fleet Owner,Bolt Driver,Specialist,,35000,Yes,,Promo10,,no,,,Y,YES,Yes,gold,Yes
04-17-2025,CUS003,John Doe,08066506603,Honda Accord,KAN332EF,Oil Change,Oill Change,Shock absorbers,Musa,62956,POS,Yes,2.0,2.8,Urgent service,In progress,VIP section,Road Sign,,Ordered,ladipo mkt,Emergency,Uber Driver,Bolt Driver,Specialist,,30000,Yes,5000,Promo10,27/09/2025,No,,no complain,N,YES,Towing needed,one time,Yes
2025-05-17,CUS004,Aisha Bello,08074612320,Honda Accord,ABJ378CD,Brake Service,Suspenshun Noise,Timing belt,Tijani,77984,Cash,Yes,4.0,4.1,Changed all filters,Completed,Main Bay,Mechanic Referral,30,Unavailable,Direct from Benz,normal,Returning,Bolt Driver,Specialist,15000,,No,5k,NONE,2025-11-20,,Needs tire alignment,Prefers morning,Yes,YES,Yes,One-time,No
28/01/2025,CUS005,Ngozi Nwachukwu,08093329195,Mercedes-Benz C300,KAN486CD,Brake Service,,Shock absorbers,Tijani,102558,CASH,No,3.0,3.9,Customer waited,Completed,Main Bay,whatsapp,45mins,Available,ladipo mkt,Normal,Returning,,speciallist,15000,40000,Yes,0,LOYALTY10,18/07/2025,No,Needs tire alignment,Prefers morning,No,,,,
2025-02-07,CUS006,Emeka Okafor,08069676465,Toyota Corolla,KAN316EF,Battery Replacement,Brake Falure,Timing belt,Isaac Bobo,21415,Transfer,No,2.0,3.0,Changed all filters,Pending,VIP Section,Road Sign,15,Unavailable,Benz supply,Booking,first timer,,speciallist,25000,35000,No,5k,,2025-06-19,no,,Prefers morning,No,,Yes,,No
03-15-2025,CUS007,Emeka Okafor,08034954217,Lexus RX 350,KAN157CD,Brake Service,oilchng,"Oil filter, Brake pads",Isaac Bobo,97183,Transfer,Yes,1.0,1.4,Recommended further checks,Pending,Main Bay,whatsapp,15,Unavailable,Benz supply,normal,first timer,,Senior,30000,30000,,10000,Promo10,,,Needs tire alignment,Prefers morning,Yes,,Yes,Gold Maintenance Plan,
01-16-2025,CUS008,Ngozi Nwachukwu,08042635373,Lexus RX 350,LAG288GH,Oil Change,brake faliure,"Oil filter, Brake pads",Isaac Bobo,69772,POS,No,3.0,3.5,Changed all filters,In progress,Under tree,Instagram,,Ordered,Customer Brought,Emergency,Uber Driver,,Senior ,twenty thousand,35000,Yes,10000,LOYALTY10,2025-10-02,YES,,,Yes,Yes,,one time,Yes
2025-03-17,CUS009,Emeka Okafor,08028478117,Honda Accord,KAN719CD,Brake Service,brake failur,Air filter,,33192,pos,No,5.0,5.0,Customer waited,In progress,VIP section,whatsapp,60,orderd,Ladipo Market,Booking,first timer,Logistics Co,Senior ,30000,40000,No,,LOYALTY10,09/08/2025,No,Needs tire alignment,Prefers morning,N,no,,One-time,
01-27-2025,CUS010,Emeka Okafor,08015915081,Lexus RX 350,KAN579EF,Suspension Work,Brake Falure,"Oil filter, Brake pads",Musa,113143,Transfer,Yes,3.0,5.0,,In progress,main bay,whatsapp,15,availaible,Ladipo Market,Emergncy,first timer,,Apprentice,40000,40000,,0,NONE,2025-10-21,no,Needs tire alignment,Prefers morning,Y,Yes,Towing needed,gold,
06-15-2025,CUS011,Tunde Bayo,08018118989,Mercedes-Benz GLE,LAG768GH,Battery Replacement,Engin Knok,"Oil filter, Brake pads",,33680,transfer,No,5.0,5.2,Customer waited,Pending,main bay,Word of Mouth,60,Available,ladipo mkt,Emergncy,first timer,Logistics Co,Specialist,25000,35000,Yes,0,NONE,,,,no complain,Yes,No,,gold,No
